objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
col010_00011,Meridian Firefighter Bill Carroll Employee Card,Meridian Quick Response Unit/Meridian Fire Department ,1984-04-11,"Bill Carroll Meridian City Rural Fire Department Employee Card, issued April 11, 1984",Firefighters,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00011.jpg,/objects/small/col010_mfdimages_00011_sm.jpg,/objects/thumbs/col010_mfdimages_00011_th.jpg,,
col010_00012,"Meridian Fire Department ""Salmon Feed""",Photo by Gary Shaffer,1984-08-03,Meridian Fire Department Salmon BBQ event-all the proceeds of the annual MFD “Salmon Feed” is donated to the burnout fund that helps families in Meridian and the surrounding area who lost homes and possessions to fire.,Firefighters; Fundraisers; Fund Raising,"Meridian, Idaho",,,"Valley News, August 8, 1984, pg 1; found in Meridian Fire Department Scrapbook 1983-1985",,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00012.jpg,/objects/small/col010_mfdimages_00012_sm.jpg,/objects/thumbs/col010_mfdimages_00012_th.jpg,,
col010_00013,Meridian Quick Response Unit Member holds Baby,Meridian Quick Response Unit/Meridian Fire Department ,1984-05-05,Meridian Quick Response Unit Member holds Baby,Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00013.jpg,/objects/small/col010_mfdimages_00013_sm.jpg,/objects/thumbs/col010_mfdimages_00013_th.jpg,,
col010_00014,Meridian Quick Response Unit Training-1984,Meridian Quick Response Unit/Meridian Fire Department ,1984-05-05,Meridian Quick Response Unit Training-1984,Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00014.jpg,/objects/small/col010_mfdimages_00014_sm.jpg,/objects/thumbs/col010_mfdimages_00014_th.jpg,,
col010_00015,Meridian Quick Response Unit Training-1984,Meridian Quick Response Unit/Meridian Fire Department ,1984-05-05,Meridian Quick Response Unit Training-1984,Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00015.jpg,/objects/small/col010_mfdimages_00015_sm.jpg,/objects/thumbs/col010_mfdimages_00015_th.jpg,,
col010_00016,Meridian Quick Response Unit Training-1984,Meridian Quick Response Unit/Meridian Fire Department ,1984-05-05,Meridian Quick Response Unit Training-1984,Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00016.jpg,/objects/small/col010_mfdimages_00016_sm.jpg,/objects/thumbs/col010_mfdimages_00016_th.jpg,,
col010_00017,Meridian Quick Response Unit Training-1984,Meridian Quick Response Unit/Meridian Fire Department ,1984-05-05,Meridian Quick Response Unit Training-1984,Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00017.jpg,/objects/small/col010_mfdimages_00017_sm.jpg,/objects/thumbs/col010_mfdimages_00017_th.jpg,,
col010_00018,Firemen Prepare Salmon for Salmon Feed Fundraiser,Meridian Quick Response Unit/Meridian Fire Department ,1984-08-03,"Meridian Firemen hose down salmon meat at the 1984 Salmon Feed, Aug. 3, 1984 at Meridian Speedway",Firefighters; Fundraisers; Fund Raising,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00018.jpg,/objects/small/col010_mfdimages_00018_sm.jpg,/objects/thumbs/col010_mfdimages_00018_th.jpg,,
col010_00019,Meridian Firemen Surround Salmon Feed Grill,Meridian Quick Response Unit/Meridian Fire Department ,1984-08-03,"Meridian Firemen stand around grills at Salmon Feed, August 3, 1984 at Meridian Speedway ",Firefighters; Fundraisers; Fund Raising,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00019.jpg,/objects/small/col010_mfdimages_00019_sm.jpg,/objects/thumbs/col010_mfdimages_00019_th.jpg,,
col010_00020,Firemen serve food at Salmon Feed Fundraiser,Meridian Quick Response Unit/Meridian Fire Department ,1984-08-03,Firemen serve food at Salmon Feed Fundraiser,Firefighters; Fundraisers; Fund Raising,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00020.jpg,/objects/small/col010_mfdimages_00020_sm.jpg,/objects/thumbs/col010_mfdimages_00020_th.jpg,,
col010_00021,People line up to get Salmon at MFD Salmon Feed ,Meridian Quick Response Unit/Meridian Fire Department ,1984-08-03,"People line up to get Salmon at the MFD Salmon Feed, August 3, 1984",Firefighters; Fundraisers; Fund Raising,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00021.jpg,/objects/small/col010_mfdimages_00021_sm.jpg,/objects/thumbs/col010_mfdimages_00021_th.jpg,,
col010_00022,Meridian Firemen Clean Salmon Feed Grill,Meridian Quick Response Unit/Meridian Fire Department ,1984-08-03,"Meridian Firemen clean grill at Salmon Feed at Meridian Speedway, August 3, 1984",Firefighters; Fundraisers; Fund Raising,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00022.jpg,/objects/small/col010_mfdimages_00022_sm.jpg,/objects/thumbs/col010_mfdimages_00022_th.jpg,,
col010_00023,Atendees eat Salmon at MFD's Salmon Feed,Meridian Quick Response Unit/Meridian Fire Department ,1984-08-03,Atendees eat Salmon at MFD's Salmon Feed,Firefighters; Fundraisers; Fund Raising,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00023.jpg,/objects/small/col010_mfdimages_00023_sm.jpg,/objects/thumbs/col010_mfdimages_00023_th.jpg,,
col010_00024,Fire Chief Kenny Bowers at Christmas Party,Meridian Quick Response Unit/Meridian Fire Department ,1984-12,Meridian City Rural Volunteer Fire Department's Fire Chief Kenny Bowers at the MFD Christmas party 1984,"Chief, Fire; Firefighters ","Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00024.jpg,/objects/small/col010_mfdimages_00024_sm.jpg,/objects/thumbs/col010_mfdimages_00024_th.jpg,,
col010_00025,Rick Tuckness at MFD Christmas Party-1984,Meridian Quick Response Unit/Meridian Fire Department ,1984-12,Rick Tuckness at MFD Christmas Party-1984,Firefighters; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00025.jpg,/objects/small/col010_mfdimages_00025_sm.jpg,/objects/thumbs/col010_mfdimages_00025_th.jpg,,
col010_00026,Marilyn Razutis at MFD Christmas Party-1984,Meridian Quick Response Unit/Meridian Fire Department ,1984-12,"Marilyn Razutis, board officer over public relations and fundraising, at the 1984 MFD Christmas Party",Firefighters; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00026.jpg,/objects/small/col010_mfdimages_00026_sm.jpg,/objects/thumbs/col010_mfdimages_00026_th.jpg,,
col010_00027,Jeff Kiebert at MFD Christmas Party-1984,Meridian Quick Response Unit/Meridian Fire Department ,1984-12,"Jeff Kiebert at MFD Christmas Party, 1984",Firefighters; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00027.jpg,/objects/small/col010_mfdimages_00027_sm.jpg,/objects/thumbs/col010_mfdimages_00027_th.jpg,,
col010_00028,Quick Response Unit Member with Emergency Vehicle,Meridian Quick Response Unit/Meridian Fire Department ,1984,"Quick Response Unit Member with Emergency Vehicle, 1984",Emergency vehicles; Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00028.jpg,/objects/small/col010_mfdimages_00028_sm.jpg,/objects/thumbs/col010_mfdimages_00028_th.jpg,,
col010_00029,Dennis Putman at MFD Christmas Party-1984,Meridian Quick Response Unit/Meridian Fire Department ,1984-12,"Dennis Putman, QRU Board President, at MFD Christmas Party 1984. He was awarded volunteer of the year at the event. ",Firefighters; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00029.jpg,/objects/small/col010_mfdimages_00029_sm.jpg,/objects/thumbs/col010_mfdimages_00029_th.jpg,,
col010_00030,Meridian Fire Department Truck,Meridian Quick Response Unit/Meridian Fire Department ,1984,Meridian Fire Department Truck--1984,Fire Trucks; Firefighters ,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00030.jpg,/objects/small/col010_mfdimages_00030_sm.jpg,/objects/thumbs/col010_mfdimages_00030_th.jpg,,
col010_00031,Joanne Potter at MFD Christmas Party-1984,Meridian Quick Response Unit/Meridian Fire Department ,1984-12,Joanne Potter at MFD Christmas Party-1984,Firefighters,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00031.jpg,/objects/small/col010_mfdimages_00031_sm.jpg,/objects/thumbs/col010_mfdimages_00031_th.jpg,,
col010_00032,Linda Dorris at MFD Christmas Party-1984,Meridian Quick Response Unit/Meridian Fire Department ,1984-12,Linda Dorris at MFD Christmas Party-1984,Firefighters; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00032.jpg,/objects/small/col010_mfdimages_00032_sm.jpg,/objects/thumbs/col010_mfdimages_00032_th.jpg,,
col010_00033,John Bartlett on Thanksgiving Day 1984,Meridian Quick Response Unit/Meridian Fire Department ,1984-11-22,"John Bartlett, Thanksgiving Day, 1984–Bartlett was vice president of the QRU Board and over department maintenance. ",Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00033.jpg,/objects/small/col010_mfdimages_00033_sm.jpg,/objects/thumbs/col010_mfdimages_00033_th.jpg,,
col010_00034,New Quick Response Unit Officers for 1985,Meridian Quick Response Unit/Meridian Fire Department ,1985-04,"New QRU Officers for 1985 from left to right: John Bartlett (Vice President and Maintenance), Marty Creek (scheduler), Peggy Kesner (treasurer), Cheryl Putman (secretary), Russ Storrs (president)",Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00034.jpg,/objects/small/col010_mfdimages_00034_sm.jpg,/objects/thumbs/col010_mfdimages_00034_th.jpg,,
col010_00035,MFD and Quick Response Unit Prepare for Dairy Days,Meridian Quick Response Unit/Meridian Fire Department ,1985-05,MFD Firemen and QRU get ready for Dairy Days 1985,Firefighters; Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00035.jpg,/objects/small/col010_mfdimages_00035_sm.jpg,/objects/thumbs/col010_mfdimages_00035_th.jpg,,
col010_00036,"MFD and QRU ""Special Representative"" for Dairy Days",Meridian Quick Response Unit/Meridian Fire Department ,1985-05,MFD & QRU special representative for Dairy Days activities 1985,Firefighters; Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00036.jpg,/objects/small/col010_mfdimages_00036_sm.jpg,/objects/thumbs/col010_mfdimages_00036_th.jpg,,
col010_00037,Mountain Bell donation to Meridian Quick Response Unit,Meridian Quick Response Unit/Meridian Fire Department ,1985,"Martha Hamilton, QRU Volunteer and employee of Mountain Bell, hands a $400 check to QRU President Russ Storrs.",Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00037.jpg,/objects/small/col010_mfdimages_00037_sm.jpg,/objects/thumbs/col010_mfdimages_00037_th.jpg,,
col010_00038,Quick Response Unite Major Incident Drill 1985,Meridian Quick Response Unit/Meridian Fire Department ,1985,"QRU Major Incident Drill 1985, in which QRU practiced responding to a multi-vehicle pile up accident.",Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00038.jpg,/objects/small/col010_mfdimages_00038_sm.jpg,/objects/thumbs/col010_mfdimages_00038_th.jpg,,
col010_00039,Quick Response Unite Major Incident Drill 1985,Meridian Quick Response Unit/Meridian Fire Department ,1985,"QRU Major Incident Drill 1985, in which QRU practiced responding to a multi-vehicle pile up accident. Notice the staged practice for the motorcyclist that slid under the bus.",Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00039.jpg,/objects/small/col010_mfdimages_00039_sm.jpg,/objects/thumbs/col010_mfdimages_00039_th.jpg,,
col010_00040,MFD Christmas Party 1985,Meridian Quick Response Unit/Meridian Fire Department ,1985-12,"MFD & QRU at Christmas Party, 1985 ",Firefighters; Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00040.jpg,/objects/small/col010_mfdimages_00040_sm.jpg,/objects/thumbs/col010_mfdimages_00040_th.jpg,,
col010_00041,"QRU Training Session June 10, 1985",Meridian Quick Response Unit/Meridian Fire Department ,1985-06-10,"QRU Training Session June 10, 1985",Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00041.jpg,/objects/small/col010_mfdimages_00041_sm.jpg,/objects/thumbs/col010_mfdimages_00041_th.jpg,,
